Time, Impact, DeltaQ
34327.0, 59.16666956004327, 273.2203947391543, 
34576.0, 90.79914940821074, 392.5741972261839, 
34598.0, 108.50749048180671, 450.0017924157617, 
34607.0, 131.63485450880617, 534.9833867660673, 
34617.0, 84.67415428763472, 383.36610056787947, 
34768.0, 82.21983652277439, 369.23764691658795, 
34797.0, 105.32702797580195, 434.8892673658728, 
34813.0, 123.99328421788971, 483.31963833970286, 
34824.0, 82.5912245815858, 370.0811366868144, 
34954.0, 69.44976805452181, 333.8813673812665, 
34997.0, 53.53538224329097, 257.3346707332246, 
35193.0, 51.8776741352865, 250.23529850048607, 
35348.0, 59.22639564834802, 278.7030782456256, 
36660.0, 124.66595980040012, 547.565442505277, 
38132.0, 107.465594317603, 427.7898951331343, 
38280.0, 53.874641763484746, 273.712430438453, 
